"user_id" "item_id" "y"
"1" 25017330 393642172 0
"2" 33918143 322399477 0
"3" 33918143 38003499 0
"4" 33918143 234796702 0
"5" 33918143 124035773 0
"6" 33918143 27371755 0
"7" 33918143 60967144 0
"8" 39567595 54037000 0
"9" 135426325 353300096 0
"10" 137587571 116255574 0
"11" 137587571 269976923 0
"12" 137587571 172241091 0
"13" 73331581 15917835 0
"14" 73331581 312788121 0
"15" 73331581 312550592 0
"16" 73331581 243777913 0
"17" 73331581 392814533 0
"18" 73331581 190320503 0
"19" 55590425 3974032 0
"20" 109750310 400427694 0
"21" 42818311 304650127 0
"22" 42818311 59107582 0
"23" 42818311 360010027 0
"24" 42818311 52905818 0
"25" 116634436 278222910 0
"26" 116634436 246326873 0
"27" 116634436 290133439 0
"28" 116634436 205081227 0
"29" 40538635 155069080 0
"30" 829373 143149727 0
"31" 829373 208679379 0
"32" 3773471 148083300 0
"33" 129099159 286227847 0
"34" 130476601 37888472 0
"35" 75536562 274473997 0
"36" 75536562 155024810 0
"37" 75536562 81135687 0
"38" 90083915 165924795 0
"39" 90083915 200377009 0
"40" 90083915 376278589 0
"41" 90083915 117893243 0
"42" 90083915 336986235 0
"43" 90083915 298102 0
"44" 90083915 344669353 0
"45" 90083915 243727844 0
"46" 90083915 319378641 0
"47" 90083915 72210563 0
"48" 90083915 160336075 0
"49" 90083915 244935161 0
"50" 90083915 295972673 0
"51" 90083915 244976423 0
"52" 90083915 396010930 0
"53" 90083915 263703776 0
"54" 90083915 1150348 0
"55" 90083915 314678054 0
"56" 90083915 33674284 0
"57" 90083915 288336651 0
"58" 90083915 70162490 0
"59" 90083915 174236376 0
"60" 122631631 252165349 0
"61" 122631631 167271669 0
"62" 36248161 108399906 0
"63" 36248161 207794585 0
"64" 36248161 136721027 0
"65" 36248161 170608858 0
"66" 20519542 203184121 0
"67" 20519542 60810390 0
"68" 20519542 149470810 0
"69" 20519542 65620725 0
"70" 21134416 69478546 0
"71" 22886227 167529519 0
"72" 22886227 396946291 0
"73" 93949903 310608572 0
"74" 38645842 290320897 0
"75" 39003640 211171296 0
"76" 39003640 107847419 0
"77" 85330726 380171858 0
"78" 55427335 76764707 0
"79" 55427335 205597183 0
"80" 78915466 154326991 0
"81" 86347757 299979612 0
"82" 49619439 273516989 0
"83" 49619439 292480299 0
"84" 108944739 319378641 0
"85" 142309360 352940544 0
"86" 100289917 347077820 0
"87" 98330735 197767230 0
"88" 141765235 319188764 0
"89" 141765235 377803515 0
"90" 141765235 15787823 0
"91" 141765235 157736298 0
"92" 141765235 172937035 0
"93" 141765235 95777285 0
"94" 141765235 260268424 0
"95" 2310758 372670597 0
"96" 8673852 221766367 0
"97" 60242958 9481888 0
"98" 48820780 69797295 0
"99" 48820780 253225821 0
"100" 48820780 232470915 0
"101" 48820780 183385466 0
"102" 48820780 374443371 0
"103" 48820780 392026213 0
"104" 48820780 392372060 0
"105" 73427429 347914898 0
"106" 73427429 63183486 0
"107" 73427429 312631805 0
"108" 73427429 125378450 0
"109" 73427429 60121083 0
"110" 67201892 161045096 0
"111" 89792074 267414977 0
"112" 113299928 402739952 0
"113" 50006440 380758825 0
"114" 50006440 17532270 0
"115" 50006440 149905848 0
"116" 50006440 135029032 0
"117" 50006440 363914963 0
"118" 11864903 290655916 0
"119" 11864903 366785755 0
"120" 11864903 248830535 0
"121" 11864903 169212581 0
"122" 84580258 382831965 0
"123" 13836728 270025064 0
"124" 123242164 286410858 0
"125" 123242164 61148939 0
"126" 119897892 101001108 0
"127" 119897892 7204707 0
"128" 125455469 47726956 0
"129" 125455469 355501740 0
"130" 6629168 260307401 0
"131" 6629168 381662846 0
"132" 51160991 51300425 0
"133" 51160991 352043352 0
"134" 51160991 355624974 0
"135" 51160991 294454727 0
"136" 134002712 372823014 0
"137" 134002712 238551575 0
"138" 134002712 157557968 0
"139" 47032159 245169010 0
"140" 113544988 67358185 0
"141" 122461842 340450409 0
"142" 80470667 198146878 0
"143" 80470667 335747002 0
"144" 60344002 94062845 0
"145" 60344002 111425768 0
"146" 98057100 240750010 0
"147" 98057100 355076301 0
"148" 98057100 319414336 0
"149" 98057100 399577345 0
"150" 98057100 114350192 0
"151" 98057100 75883157 0
"152" 98057100 326696677 0
"153" 17366329 165459258 0
"154" 17366329 267351585 0
"155" 128630759 161254174 0
"156" 55678980 61323041 0
"157" 55678980 10103695 0
"158" 26397546 401924911 0
"159" 26397546 206953107 0
"160" 26397546 248938298 0
"161" 26397546 37325680 0
"162" 26397546 305428991 0
"163" 26397546 300991619 0
"164" 26397546 262463605 0
"165" 26397546 92126814 0
"166" 87692720 378022191 0
"167" 87692720 184496865 0
"168" 87692720 9310487 0
"169" 87692720 7476379 0
"170" 87692720 128932670 0
"171" 83094299 255256876 0
"172" 98599208 91960331 0
"173" 96578339 76362389 0
"174" 96578339 89701169 0
"175" 122257243 213512957 0
"176" 28485598 361474389 0
"177" 28485598 230112250 0
"178" 78598750 286131552 0
"179" 78598750 71875787 0
"180" 116407632 343953107 0
"181" 116407632 221720763 0
"182" 46550020 293168826 0
"183" 61849905 90208492 0
"184" 61849905 296619611 0
"185" 61849905 97225099 0
"186" 61849905 42372916 0
"187" 61849905 182742369 0
"188" 61849905 264665547 0
"189" 61849905 345477748 0
"190" 136011093 5539686 0
"191" 84879940 322217710 0
"192" 84879940 18956248 0
"193" 90627536 52275078 0
"194" 12048172 383713488 0
"195" 12048172 288247997 0
"196" 12048172 316927315 0
"197" 12048172 165689431 0
"198" 12048172 75847794 0
"199" 53706414 335486848 0
"200" 19860842 244186693 0
"201" 19860842 50011539 0
"202" 19860842 135141526 0
"203" 9711778 211685736 0
"204" 9711778 101056531 0
"205" 9711778 137358685 0
"206" 38818694 181983733 0
"207" 38818694 354525367 0
"208" 68807063 21908 0
"209" 68807063 214361978 0
"210" 68807063 65700189 0
"211" 68807063 232193781 0
"212" 68807063 284966927 0
"213" 68807063 66752534 0
"214" 68807063 170779809 0
"215" 139728754 126446174 0
"216" 139728754 383462928 0
"217" 102974850 292177886 0
"218" 51450804 55406835 0
"219" 51450804 151497451 0
"220" 51450804 49248680 0
"221" 51450804 111677431 0
"222" 130206172 353513103 0
"223" 130206172 194746664 0
"224" 130206172 127931989 0
"225" 116923816 366463777 0
"226" 116923816 7911090 0
"227" 116923816 401194852 0
"228" 116923816 68415679 0
"229" 116923816 366620513 0
"230" 116923816 248892912 0
"231" 116923816 187607986 0
"232" 116923816 384338137 0
"233" 116923816 149166073 0
"234" 116923816 165430502 0
"235" 116923816 325777318 0
"236" 116923816 249252258 0
"237" 116923816 86071912 0
"238" 116923816 93888029 0
"239" 116923816 330146514 0
"240" 116923816 103365534 0
"241" 111201361 100250708 0
"242" 111201361 197154086 0
"243" 111201361 265209147 0
"244" 22003687 192601955 0
"245" 69673512 276331528 0
"246" 69673512 349833090 0
"247" 14035158 114115047 0
"248" 14035158 47622627 0
"249" 47613064 358743881 0
"250" 112808596 863419 0
"251" 60596695 300930741 0
"252" 60596695 385271371 0
"253" 129329656 371317297 0
"254" 129329656 14218727 0
"255" 129329656 217289453 0
"256" 129329656 59660749 0
"257" 129329656 216151046 0
"258" 129329656 64062794 0
"259" 129329656 156428231 0
"260" 129329656 90770898 0
"261" 129329656 210673092 0
"262" 129329656 215010005 0
"263" 129329656 357152871 0
"264" 43865915 304940373 0
"265" 43865915 112822836 0
"266" 67856822 88218001 0
"267" 42921981 47303239 0
